Zone Type,Occupancy,Temperature,Humidity,Weekend,Day/Night,HVAC Status,Fan Status,Lighting Status,Energy Consumption
Corridor,16,33.97,34.7,No,Day,ON,OFF,ON,48.96
Meeting Hall,61,23.48,54.06,Yes,Day,ON,ON,ON,61.34
Floor,36,19.59,51.41,No,Day,ON,OFF,ON,66.73
Floor,13,34.69,68.0,No,Night,ON,ON,OFF,60.82
Floor,50,25.5,70.0,No,Day,ON,ON,ON,69.94
Floor,54,25.37,73.61,No,Day,ON,ON,ON,79.13
Corridor,56,19.52,72.86,No,Day,ON,ON,OFF,55.36
Meeting Hall,3,30.64,79.92,No,Day,ON,ON,ON,61.41
Meeting Hall,85,30.24,65.37,No,Day,ON,ON,OFF,66.29
Corridor,48,20.47,61.04,Yes,Night,ON,OFF,ON,38.02
Meeting Hall,80,21.97,37.36,No,Night,ON,OFF,ON,56.32
Corridor,34,18.28,53.41,Yes,Day,ON,ON,ON,48.28
Floor,52,33.13,51.52,Yes,Night,ON,ON,ON,67.64
Corridor,31,22.16,66.73,No,Day,OFF,ON,ON,43.1
Floor,94,33.76,43.73,No,Night,ON,ON,ON,85.27
Floor,88,27.71,73.54,No,Day,OFF,ON,ON,76.17
Office,9,25.23,40.99,Yes,Day,ON,ON,ON,43.87
Corridor,61,18.13,54.18,No,Day,ON,OFF,ON,50.98
Office,1,19.57,77.22,No,Day,ON,ON,OFF,42.53
Corridor,62,20.7,47.2,No,Day,ON,ON,ON,53.82
Corridor,90,19.8,66.4,No,Day,ON,OFF,ON,61.77
Office,75,22.36,46.78,No,Day,OFF,OFF,ON,51.68
Office,15,20.63,55.72,No,Day,ON,ON,ON,47.6
Corridor,15,29.29,68.78,No,Day,ON,ON,OFF,45.91
Meeting Hall,2,23.05,70.73,Yes,Day,ON,OFF,OFF,45.46
Floor,88,30.21,72.12,No,Day,ON,OFF,OFF,77.41
Office,17,20.3,34.98,No,Day,OFF,ON,ON,41.09
Floor,41,21.55,72.74,No,Day,OFF,OFF,ON,55.84
Meeting Hall,31,31.39,37.32,Yes,Night,ON,ON,ON,52.63
Meeting Hall,49,28.78,43.64,No,Night,ON,OFF,ON,53.62
Meeting Hall,48,19.64,78.55,No,Day,ON,ON,OFF,57.43
Office,2,34.31,37.21,No,Day,OFF,ON,OFF,35.54
Meeting Hall,71,30.96,42.55,Yes,Day,ON,OFF,ON,73.48
Office,4,27.39,46.79,No,Night,OFF,OFF,ON,34.46
Meeting Hall,56,23.83,70.31,No,Day,ON,ON,ON,71.38
Floor,83,19.6,46.04,No,Day,OFF,ON,OFF,66.52
Floor,43,24.09,71.3,Yes,Day,ON,ON,ON,73.91
Corridor,24,23.49,40.28,No,Day,ON,ON,ON,48.02
Floor,69,19.33,60.05,No,Day,ON,ON,OFF,72.61
Corridor,91,31.32,77.99,Yes,Day,OFF,OFF,OFF,45.26
Floor,22,25.06,32.05,Yes,Day,OFF,ON,ON,51.02
Office,87,33.12,75.43,No,Day,OFF,OFF,ON,60.25
Floor,9,20.69,38.24,Yes,Day,OFF,OFF,OFF,41.03
Corridor,9,23.4,59.05,Yes,Day,ON,ON,ON,43.1
Corridor,32,22.74,32.44,No,Day,OFF,OFF,OFF,32.29
Meeting Hall,72,32.71,58.56,No,Night,OFF,OFF,ON,54.7
Office,17,26.63,60.75,Yes,Day,ON,ON,OFF,44.75
Floor,66,20.41,70.38,No,Day,ON,OFF,OFF,71.2
Meeting Hall,96,24.08,50.8,Yes,Day,ON,OFF,OFF,64.85
Floor,73,34.03,75.79,Yes,Day,ON,ON,ON,73.93
Floor,26,27.38,48.52,Yes,Day,OFF,ON,ON,53.51
Meeting Hall,34,18.62,34.58,No,Day,ON,OFF,ON,55.14
Meeting Hall,61,18.98,49.34,Yes,Day,ON,ON,OFF,60.3
Meeting Hall,17,22.01,45.31,Yes,Day,ON,OFF,ON,43.27
Meeting Hall,6,28.56,52.32,No,Day,ON,OFF,ON,55.99
Meeting Hall,70,22.17,39.98,No,Day,ON,ON,ON,70.35
Floor,85,32.45,48.52,Yes,Day,OFF,ON,OFF,64.55
Meeting Hall,9,28.7,74.31,No,Day,ON,ON,OFF,53.73
Office,26,23.11,62.62,Yes,Day,OFF,ON,OFF,31.88
Corridor,67,24.7,39.91,No,Day,ON,OFF,ON,50.64
Meeting Hall,75,24.38,32.64,No,Day,OFF,ON,OFF,57.55
Meeting Hall,66,23.34,40.83,No,Day,ON,ON,ON,68.83
Floor,54,28.71,50.46,No,Day,ON,ON,OFF,75.95
Meeting Hall,47,21.43,48.36,No,Night,ON,OFF,ON,55.41
Meeting Hall,66,22.97,72.42,Yes,Night,OFF,ON,ON,46.61
Meeting Hall,88,19.45,59.3,No,Day,ON,OFF,ON,64.71
Floor,25,24.39,72.12,Yes,Day,ON,OFF,ON,67.31
Meeting Hall,39,19.09,79.94,No,Day,OFF,OFF,ON,54.77
Corridor,70,18.3,44.52,No,Day,ON,ON,ON,59.92
Floor,45,28.98,53.87,No,Night,ON,ON,ON,68.81
Corridor,97,20.76,65.28,No,Night,ON,ON,ON,56.04
Floor,73,18.6,55.59,No,Night,ON,ON,ON,75.01
Meeting Hall,66,19.16,46.34,No,Day,ON,OFF,OFF,57.69
Corridor,91,21.39,70.81,No,Day,ON,ON,OFF,55.06
Floor,10,30.25,74.62,No,Night,OFF,ON,OFF,46.64
Office,50,18.2,43.91,No,Day,ON,OFF,OFF,41.62
Meeting Hall,31,30.35,44.07,No,Night,ON,ON,OFF,52.22
Floor,71,28.15,58.37,No,Day,ON,ON,OFF,76.78
Office,19,26.74,70.82,No,Day,ON,ON,OFF,51.26
Floor,4,33.46,56.0,No,Day,ON,OFF,ON,63.83
Office,40,32.1,33.0,No,Day,OFF,ON,ON,51.7
Meeting Hall,12,25.12,44.75,Yes,Day,OFF,OFF,ON,43.27
Corridor,74,18.11,55.14,No,Day,OFF,ON,OFF,41.55
Office,97,30.08,66.83,No,Day,ON,ON,OFF,67.89
Floor,2,18.81,68.75,No,Day,OFF,OFF,ON,47.16
Meeting Hall,14,22.73,67.62,No,Day,OFF,OFF,ON,42.22
Office,96,26.38,34.74,Yes,Day,ON,ON,ON,67.8
Floor,55,19.69,60.8,No,Night,ON,OFF,OFF,54.67
Floor,42,29.55,51.27,No,Day,ON,ON,ON,79.78
Floor,73,23.46,45.68,No,Day,ON,OFF,ON,75.01
Office,66,24.15,71.38,No,Night,OFF,OFF,ON,42.57
Office,45,29.02,47.92,Yes,Night,ON,ON,ON,51.95
Office,47,24.77,39.13,Yes,Day,OFF,OFF,OFF,34.03
Corridor,77,21.82,64.79,No,Night,ON,ON,OFF,48.26
Office,96,21.0,36.78,No,Day,ON,OFF,ON,63.98
Office,96,30.31,44.69,No,Day,ON,OFF,ON,65.4
Office,35,30.76,52.22,Yes,Day,OFF,ON,ON,50.62
Corridor,22,21.33,37.08,No,Day,ON,ON,ON,52.47
Office,54,23.42,44.37,No,Night,OFF,OFF,ON,40.77
Floor,54,34.26,62.08,No,Night,ON,ON,ON,69.88
Office,53,34.73,57.87,Yes,Night,ON,OFF,OFF,47.59
Floor,64,27.95,72.21,No,Night,ON,ON,ON,75.76
Floor,90,30.87,37.04,No,Day,OFF,OFF,OFF,64.03
Floor,50,30.72,73.19,No,Day,ON,ON,ON,81.71
Corridor,31,24.72,33.78,No,Night,ON,ON,ON,45.68
Corridor,84,18.82,67.17,No,Night,ON,OFF,OFF,39.85
Corridor,19,30.59,40.34,No,Night,OFF,OFF,OFF,24.49
Office,90,20.31,75.15,No,Night,ON,ON,ON,62.57
Floor,35,22.94,32.08,Yes,Day,ON,ON,OFF,60.81
Corridor,31,23.36,59.01,No,Night,ON,OFF,ON,36.43
Corridor,56,23.93,30.64,Yes,Night,ON,OFF,ON,41.73
Office,28,25.92,66.8,No,Night,OFF,OFF,OFF,29.09
Corridor,45,26.53,31.69,No,Day,OFF,OFF,ON,37.4
Office,86,26.22,66.36,No,Day,ON,ON,ON,67.28
Meeting Hall,34,20.77,70.43,No,Day,OFF,OFF,OFF,44.94
Corridor,78,29.03,74.78,Yes,Day,OFF,OFF,ON,44.06
Meeting Hall,73,31.43,47.97,No,Day,ON,ON,ON,75.34
Office,51,25.85,57.13,No,Day,OFF,ON,ON,50.15
Floor,14,32.25,66.68,Yes,Day,OFF,ON,ON,63.24
Corridor,88,25.55,71.04,No,Day,ON,OFF,ON,64.28
Office,80,27.66,69.14,Yes,Day,OFF,OFF,OFF,41.88
Floor,50,19.18,72.39,No,Day,ON,OFF,ON,75.47
Floor,30,20.5,74.88,No,Day,ON,ON,ON,66.07
Meeting Hall,74,31.04,62.52,Yes,Day,OFF,OFF,ON,59.52
Office,83,22.24,38.7,No,Day,OFF,OFF,OFF,43.44
Floor,94,19.59,71.67,Yes,Day,OFF,ON,OFF,65.57
Corridor,15,27.66,53.16,Yes,Day,ON,ON,ON,45.59
Corridor,35,19.6,32.53,Yes,Day,OFF,OFF,OFF,25.48
Meeting Hall,38,29.63,61.3,No,Night,ON,OFF,ON,59.25
Floor,10,29.72,66.37,No,Day,ON,ON,ON,68.26
Office,19,25.7,52.89,No,Day,ON,ON,OFF,48.09
Corridor,89,29.66,55.33,Yes,Night,ON,ON,ON,58.59
Floor,55,31.59,57.5,Yes,Day,ON,ON,OFF,68.34
Floor,89,21.36,42.62,No,Night,ON,ON,ON,68.21
Meeting Hall,41,29.04,48.7,No,Night,OFF,ON,OFF,42.52
Corridor,46,29.77,70.34,No,Day,OFF,OFF,ON,44.38
Corridor,5,21.31,31.5,Yes,Day,OFF,OFF,OFF,19.02
Office,34,30.36,57.84,No,Day,ON,ON,OFF,55.66
Corridor,7,30.23,31.59,No,Day,OFF,OFF,ON,32.89
Office,70,20.67,40.08,No,Day,OFF,OFF,ON,49.42
Corridor,36,23.4,48.64,No,Day,ON,ON,OFF,49.16
Meeting Hall,49,34.0,39.32,Yes,Night,OFF,ON,ON,49.58
Corridor,15,19.21,72.43,No,Day,ON,OFF,ON,49.18
Office,8,21.89,73.51,No,Day,ON,OFF,OFF,38.7
Office,74,27.84,37.65,No,Day,ON,ON,ON,64.93
Meeting Hall,84,34.47,74.62,No,Day,OFF,ON,ON,65.75
Corridor,59,22.37,41.5,No,Day,OFF,OFF,OFF,43.76
Corridor,50,31.89,30.61,No,Day,ON,ON,ON,61.67
Meeting Hall,45,24.25,66.84,Yes,Day,ON,OFF,OFF,50.6
Corridor,70,23.99,55.91,No,Night,OFF,OFF,ON,41.45
Corridor,11,34.93,54.92,No,Day,OFF,ON,ON,49.56
Office,63,31.89,30.14,No,Day,ON,ON,ON,66.0
Corridor,20,22.22,78.93,No,Day,ON,ON,OFF,40.98
Corridor,4,21.16,71.63,Yes,Day,OFF,ON,OFF,28.94
Meeting Hall,5,19.43,78.37,No,Day,ON,ON,ON,54.12
Meeting Hall,42,26.21,42.18,No,Night,ON,OFF,ON,56.23
Floor,25,23.69,60.18,Yes,Night,ON,ON,ON,56.64
Office,92,24.47,67.34,No,Day,OFF,ON,OFF,54.26
Corridor,53,25.33,70.17,No,Day,OFF,OFF,ON,44.88
Corridor,2,34.85,69.09,No,Day,ON,OFF,ON,44.5
Floor,10,18.05,58.62,No,Day,ON,OFF,OFF,53.35
Corridor,86,25.24,31.58,No,Day,ON,ON,OFF,58.23
Office,24,19.1,79.7,No,Day,ON,ON,ON,56.84
Floor,11,29.44,35.74,No,Day,ON,ON,OFF,59.83
Office,64,18.86,39.04,No,Day,ON,ON,OFF,53.45
Floor,3,31.04,71.22,No,Night,ON,OFF,OFF,53.08
Floor,51,32.75,35.03,No,Night,ON,ON,ON,66.85
Meeting Hall,64,34.5,40.67,No,Day,OFF,OFF,ON,67.84
Office,69,20.05,31.02,Yes,Day,ON,ON,OFF,47.31
Corridor,33,34.64,37.83,No,Night,ON,ON,ON,49.63
Corridor,90,25.01,62.95,Yes,Day,ON,OFF,ON,59.46
Office,15,28.75,48.03,No,Night,ON,ON,ON,49.44
Corridor,74,18.0,36.76,No,Day,ON,ON,ON,63.4
Corridor,13,24.29,43.2,No,Day,ON,ON,ON,47.2
Office,73,24.0,67.68,No,Day,ON,OFF,OFF,57.33
Floor,60,26.56,57.84,No,Night,ON,ON,ON,69.99
Office,52,20.25,53.8,No,Day,OFF,ON,ON,50.04
Floor,57,29.73,32.33,Yes,Day,ON,OFF,ON,70.76
Corridor,62,28.13,55.59,Yes,Day,ON,OFF,ON,48.58
Corridor,12,21.61,54.08,No,Night,OFF,OFF,ON,25.32
Corridor,44,34.72,52.14,No,Night,OFF,ON,OFF,35.28
Meeting Hall,97,18.1,54.37,Yes,Night,ON,OFF,ON,59.31
Floor,96,23.71,33.71,No,Night,OFF,OFF,ON,61.78
Meeting Hall,54,22.45,76.65,No,Day,ON,ON,OFF,64.38
Meeting Hall,32,27.52,45.31,Yes,Day,OFF,ON,ON,54.93
Office,61,33.1,62.63,No,Day,ON,OFF,OFF,53.49
Meeting Hall,38,29.18,47.95,No,Day,OFF,OFF,ON,49.72
Office,12,18.81,46.4,Yes,Night,OFF,OFF,OFF,16.95
Office,80,32.68,66.25,No,Night,ON,OFF,ON,62.07
Meeting Hall,72,22.51,50.94,No,Day,OFF,ON,OFF,49.71
Floor,12,19.88,60.79,No,Day,ON,ON,OFF,64.98
Floor,15,25.35,43.71,No,Night,ON,ON,ON,63.86
Floor,100,33.28,43.27,No,Day,ON,ON,ON,89.02
Floor,53,18.59,39.95,No,Day,OFF,ON,ON,65.72
Floor,29,28.64,45.05,Yes,Day,ON,ON,OFF,61.76
Meeting Hall,38,23.65,33.25,No,Day,ON,OFF,ON,54.11
Meeting Hall,96,28.58,33.89,No,Day,ON,ON,ON,80.91
Corridor,63,22.53,72.65,Yes,Day,ON,ON,ON,58.08
Floor,69,34.44,43.99,No,Day,ON,OFF,OFF,74.93
Meeting Hall,11,19.94,56.92,No,Night,OFF,OFF,ON,37.53
Corridor,1,20.69,54.82,No,Day,OFF,ON,ON,33.38
Floor,32,18.78,61.71,No,Day,ON,OFF,OFF,53.73
Office,14,31.51,62.4,No,Night,ON,OFF,OFF,32.61
Corridor,80,19.6,48.34,No,Day,ON,ON,ON,54.35
Meeting Hall,51,22.7,36.67,No,Day,ON,ON,ON,65.31
Office,34,21.5,38.87,No,Night,ON,ON,ON,43.24
Office,94,24.01,47.97,No,Day,ON,OFF,ON,59.45
Office,93,31.02,58.01,No,Night,ON,ON,ON,61.56
Corridor,37,34.15,60.71,No,Day,ON,ON,ON,59.64
Meeting Hall,79,32.94,76.62,No,Day,OFF,OFF,OFF,60.88
Office,41,32.3,45.26,No,Day,OFF,ON,OFF,52.57
Floor,80,25.1,35.46,No,Day,ON,ON,OFF,79.94
Office,6,31.63,56.88,Yes,Night,OFF,ON,ON,32.8
Office,55,31.21,33.33,No,Day,ON,ON,OFF,53.66
Corridor,4,22.21,38.28,No,Night,OFF,OFF,ON,26.94
Corridor,39,22.46,57.71,Yes,Night,OFF,OFF,ON,28.38
Meeting Hall,60,26.48,76.22,No,Day,OFF,ON,ON,60.86
Floor,90,34.38,39.78,No,Night,ON,ON,ON,79.32
Corridor,64,19.83,48.12,No,Day,ON,ON,ON,55.3
Office,65,34.8,52.14,Yes,Day,ON,OFF,ON,62.19
Meeting Hall,67,20.7,77.67,No,Night,ON,OFF,ON,61.44
Office,64,26.26,66.78,No,Day,ON,ON,ON,63.96
Office,92,23.17,46.61,Yes,Day,ON,ON,ON,64.39
Corridor,84,25.14,43.57,No,Day,OFF,ON,OFF,45.33
Meeting Hall,41,34.28,55.93,No,Day,ON,ON,OFF,63.26
Floor,34,28.74,49.07,No,Day,ON,OFF,OFF,62.01
Floor,97,23.06,60.84,No,Day,ON,OFF,OFF,75.36
Corridor,65,28.68,56.74,No,Day,ON,OFF,OFF,51.85
Corridor,24,25.69,31.69,No,Day,ON,ON,OFF,46.04
Meeting Hall,5,34.04,33.72,Yes,Day,ON,ON,OFF,49.64
Floor,7,24.0,36.7,Yes,Day,ON,ON,ON,67.38
Floor,34,27.94,62.54,No,Day,ON,ON,OFF,67.18
Floor,52,32.44,78.86,No,Night,ON,ON,ON,69.04
Office,18,34.3,52.63,No,Day,ON,ON,OFF,55.61
Floor,8,31.59,37.47,Yes,Day,OFF,ON,OFF,44.79
Office,32,33.9,60.5,Yes,Day,ON,ON,ON,54.9
Meeting Hall,7,25.88,61.27,No,Day,OFF,OFF,ON,45.71
Office,37,31.0,67.79,No,Day,ON,OFF,ON,55.63
Meeting Hall,31,19.61,65.49,No,Night,ON,ON,OFF,47.48
Floor,22,28.09,64.39,No,Night,ON,ON,OFF,57.56
Floor,33,18.23,66.24,No,Night,ON,ON,ON,61.01
Meeting Hall,86,22.42,70.96,Yes,Night,ON,OFF,ON,53.49
Corridor,45,29.31,74.77,No,Day,ON,OFF,OFF,51.65
Meeting Hall,31,20.92,30.17,No,Day,ON,OFF,OFF,50.84
Corridor,0,21.4,63.31,No,Night,ON,OFF,ON,35.36
Office,6,19.05,77.06,No,Day,OFF,ON,OFF,32.96
Office,23,30.71,67.89,Yes,Night,OFF,ON,ON,35.65
Office,1,25.62,34.07,Yes,Night,ON,ON,ON,39.92
Floor,17,33.1,66.82,No,Night,ON,OFF,OFF,59.87
Office,82,24.16,42.63,No,Day,ON,ON,OFF,61.44
Corridor,99,25.4,39.2,Yes,Night,ON,OFF,ON,57.04
Office,55,26.41,40.16,Yes,Day,OFF,OFF,ON,42.09
Meeting Hall,91,32.64,78.61,Yes,Day,ON,ON,ON,75.71
Meeting Hall,98,22.97,62.96,No,Day,ON,OFF,OFF,69.9
Floor,31,18.88,78.89,Yes,Night,ON,ON,OFF,50.18
Meeting Hall,76,28.66,72.36,No,Night,OFF,OFF,ON,55.14
Corridor,69,32.04,76.24,No,Day,ON,OFF,ON,64.14
Office,92,27.46,57.75,No,Day,ON,ON,ON,74.03
Floor,9,23.45,47.44,Yes,Day,OFF,ON,OFF,43.4
Office,39,28.72,66.93,No,Night,ON,ON,ON,53.53
Office,73,34.85,30.9,Yes,Day,ON,OFF,ON,60.58
Corridor,33,27.76,62.19,No,Day,OFF,ON,OFF,33.83
Meeting Hall,83,23.36,77.82,No,Day,ON,OFF,ON,67.87
Meeting Hall,32,22.14,72.29,No,Day,OFF,ON,ON,54.47
Office,74,34.97,39.47,No,Day,ON,OFF,ON,69.52
Floor,87,32.46,36.4,No,Day,ON,OFF,OFF,75.68
Meeting Hall,96,22.75,71.32,No,Night,OFF,OFF,OFF,46.4
Floor,56,22.46,32.67,No,Night,ON,ON,ON,64.99
Meeting Hall,21,31.66,79.77,No,Day,OFF,ON,ON,51.21
Floor,47,34.87,53.37,No,Night,OFF,ON,ON,66.45
Corridor,75,25.92,76.38,No,Day,ON,ON,ON,67.21
Floor,93,21.86,70.56,No,Day,OFF,ON,ON,69.09
Corridor,31,21.92,64.87,No,Day,OFF,ON,ON,46.92
Corridor,82,31.55,40.29,No,Day,ON,OFF,OFF,58.6
Floor,44,28.29,34.28,No,Night,ON,ON,OFF,61.65
Corridor,1,28.77,62.78,Yes,Day,ON,OFF,OFF,32.22
Office,77,21.3,39.49,No,Day,ON,ON,OFF,55.56
Corridor,54,20.22,71.44,Yes,Night,ON,ON,OFF,40.56
Meeting Hall,58,18.18,33.35,No,Day,ON,ON,OFF,55.71
Floor,32,33.56,56.19,No,Night,ON,ON,ON,66.78
Office,95,24.03,51.1,Yes,Night,ON,ON,ON,54.1
Floor,82,30.89,76.24,No,Day,ON,OFF,ON,81.23
Meeting Hall,13,33.04,74.93,No,Night,ON,OFF,ON,51.22
Meeting Hall,67,28.18,66.01,Yes,Day,ON,ON,OFF,62.56
Meeting Hall,65,25.21,67.77,No,Day,OFF,ON,ON,62.73
Corridor,73,18.66,65.33,Yes,Day,ON,ON,ON,56.5
Corridor,58,23.73,63.74,Yes,Day,ON,OFF,ON,55.32
Floor,92,23.47,79.85,No,Night,ON,OFF,ON,74.32
Floor,14,27.63,66.8,No,Day,ON,OFF,OFF,59.46
Office,30,30.99,77.28,Yes,Day,ON,ON,ON,61.02
Office,96,30.09,51.86,No,Night,OFF,ON,OFF,49.15
Floor,28,32.79,79.91,Yes,Day,ON,ON,OFF,65.06
Corridor,74,18.8,60.72,No,Day,OFF,OFF,OFF,37.95
Meeting Hall,72,28.29,75.25,No,Day,ON,ON,ON,78.9
Floor,46,21.21,34.55,No,Night,ON,OFF,OFF,53.73
Office,56,34.53,60.53,No,Day,OFF,ON,ON,56.19
Corridor,57,24.95,79.64,No,Day,OFF,ON,ON,51.62
Floor,92,28.61,33.33,No,Day,ON,ON,ON,83.03
Floor,100,23.98,77.35,Yes,Day,OFF,OFF,ON,67.95
Corridor,84,21.74,37.3,No,Night,ON,ON,ON,52.88
Floor,30,29.69,79.81,No,Day,OFF,OFF,ON,60.8
Corridor,52,33.97,44.45,Yes,Day,ON,ON,ON,57.71
Meeting Hall,85,19.01,69.68,Yes,Day,OFF,ON,ON,57.14
Corridor,63,32.03,31.39,No,Night,ON,ON,ON,57.89
Corridor,81,23.81,44.34,No,Night,ON,OFF,ON,53.88
Corridor,1,20.06,60.16,Yes,Day,OFF,ON,OFF,31.19
Floor,59,30.13,41.36,Yes,Day,ON,ON,ON,69.74
Floor,85,19.4,68.04,No,Day,ON,ON,ON,77.96
Corridor,100,30.37,63.78,No,Day,ON,ON,OFF,64.79
Floor,83,25.41,79.54,No,Day,OFF,OFF,ON,70.15
Office,47,20.8,59.22,No,Day,OFF,ON,ON,51.95
Office,47,20.67,68.41,No,Day,OFF,OFF,ON,38.91
Floor,60,30.72,33.73,No,Night,OFF,OFF,OFF,55.22
Floor,3,32.08,32.15,No,Day,ON,OFF,OFF,56.23
Corridor,25,29.66,59.08,No,Night,ON,ON,ON,44.67
Meeting Hall,83,30.25,79.27,Yes,Day,ON,ON,ON,74.32
Floor,21,32.42,43.44,No,Night,ON,OFF,ON,61.35
Office,42,25.29,30.09,No,Day,ON,OFF,ON,61.69
Corridor,19,20.85,47.05,No,Day,ON,ON,ON,50.73
Floor,92,24.41,66.95,No,Night,ON,ON,OFF,73.32
Office,47,34.65,70.11,Yes,Day,OFF,OFF,ON,46.45
Office,94,25.62,69.05,No,Day,ON,ON,ON,69.5
Meeting Hall,60,33.71,34.05,No,Day,OFF,OFF,ON,54.48
Corridor,22,29.95,68.54,No,Night,OFF,ON,OFF,33.12
Corridor,60,30.54,34.08,No,Day,OFF,ON,ON,46.71
Meeting Hall,79,21.23,79.36,No,Night,OFF,ON,OFF,46.15
Meeting Hall,62,24.27,48.52,No,Day,ON,ON,OFF,63.38
Corridor,18,30.45,64.67,No,Day,ON,ON,ON,52.39
Corridor,74,29.14,54.23,Yes,Day,OFF,OFF,ON,43.72
Floor,75,32.66,42.03,No,Day,ON,OFF,ON,77.85
Floor,99,21.57,60.54,No,Day,OFF,OFF,OFF,65.29
Meeting Hall,12,30.72,30.8,No,Day,ON,OFF,OFF,53.21
Floor,1,18.67,55.26,No,Day,ON,ON,ON,58.76
Office,50,23.1,31.95,No,Day,ON,ON,ON,59.73
Floor,74,28.72,58.39,No,Day,OFF,OFF,ON,70.7
Floor,0,34.66,52.86,No,Night,OFF,ON,ON,59.28
Office,40,34.82,74.74,No,Night,OFF,ON,OFF,42.72
Meeting Hall,9,25.47,78.3,No,Night,OFF,OFF,OFF,27.21
Office,2,31.0,62.56,Yes,Day,ON,ON,ON,52.08
Floor,7,28.21,39.26,Yes,Night,ON,OFF,ON,55.8
Meeting Hall,79,30.05,56.18,No,Day,OFF,OFF,OFF,59.02
Floor,35,30.44,30.08,Yes,Day,ON,ON,ON,73.95
Office,39,27.3,68.4,Yes,Night,ON,ON,ON,53.01
Office,38,31.84,32.06,No,Night,ON,OFF,ON,49.19
Floor,83,27.94,70.38,No,Day,ON,ON,ON,84.66
Corridor,46,19.71,43.23,No,Day,OFF,ON,OFF,35.09
Corridor,59,34.82,42.5,No,Day,ON,ON,ON,60.12
Office,7,23.17,34.48,No,Day,OFF,OFF,ON,33.05
Office,73,34.39,64.29,No,Night,OFF,OFF,ON,51.81
Corridor,36,22.97,48.3,Yes,Day,ON,OFF,OFF,36.55
Corridor,62,32.5,34.5,No,Night,ON,OFF,ON,52.07
Floor,95,29.72,46.05,No,Day,ON,OFF,OFF,77.75
Floor,26,24.07,76.11,No,Night,OFF,ON,ON,55.89
Corridor,94,33.95,31.75,No,Night,ON,OFF,ON,62.66
Floor,2,27.91,63.45,No,Day,ON,ON,ON,68.95
Floor,38,32.11,55.05,Yes,Day,OFF,ON,OFF,56.96
Meeting Hall,5,31.55,59.88,No,Night,ON,OFF,ON,55.63
Floor,80,18.79,49.58,No,Day,OFF,ON,ON,65.25
Office,9,22.57,54.08,No,Day,OFF,OFF,OFF,30.92
Floor,84,26.03,67.96,Yes,Day,ON,ON,ON,78.59
Floor,28,33.86,54.16,No,Day,ON,OFF,OFF,66.66
